"","ID","Date","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","Temperature","Conductivity","Site","Sensor_Type","Salinity","Sun_Code","DO","Depth"
"1",1,2017-01-02 16:00:00,77,1070,5,0.609756097560976,16,NA,13.68,1,"LAKEWATCH",NA,1,NA,NA
"2",2,2017-01-02 16:30:00,51,670,10,0.701219512195122,9,NA,28,2,"LAKEWATCH",NA,1,NA,NA
"3",3,2017-01-02 16:40:00,77,910,15,0.548780487804878,8,NA,23,3,"LAKEWATCH",NA,1,NA,NA
"4",4,2017-01-02 17:00:00,101,880,14,0.457317073170732,8,NA,32,4,"LAKEWATCH",NA,1,NA,NA
"5",5,2017-01-02 16:41:00,39,500,14,0.914634146341463,8,NA,30,5,"LAKEWATCH",NA,1,NA,NA
"6",6,2017-01-02 15:30:00,93,1110,3,0.457317073170732,22,NA,31.87,6,"LAKEWATCH",NA,1,NA,NA
"7",7,2017-02-05 15:00:00,110,1250,50,1.21951219512195,91,NA,14,1,"LAKEWATCH",NA,4,NA,NA
"8",8,2017-02-05 15:45:00,66,830,4,1.21951219512195,99,NA,10,2,"LAKEWATCH",NA,4,NA,NA
"9",9,2017-02-05 16:00:00,50,550,3,0.76219512195122,69,NA,7,3,"LAKEWATCH",NA,4,NA,NA
"10",10,2017-02-05 16:10:00,55,710,7,0.609756097560976,66,NA,13,4,"LAKEWATCH",NA,4,NA,NA
"11",11,2017-02-05 15:30:00,58,840,9,1.21951219512195,92,NA,12,5,"LAKEWATCH",NA,4,NA,NA
"12",12,2017-02-05 15:15:00,60,670,9,0.609756097560976,64,NA,12,6,"LAKEWATCH",NA,4,NA,NA
"13",13,2017-03-06 16:00:00,29,410,3,1.06707317073171,18,NA,38,1,"LAKEWATCH",NA,1,NA,NA
"14",14,2017-03-06 16:20:00,27,400,5,1.00609756097561,15,NA,33,2,"LAKEWATCH",NA,1,NA,NA
"15",15,2017-03-06 16:30:00,30,390,2,0.853658536585366,15,NA,35,3,"LAKEWATCH",NA,1,NA,NA
"16",16,2017-03-06 15:30:00,25,400,5,1.06707317073171,14,NA,31,4,"LAKEWATCH",NA,1,NA,NA
"17",17,2017-03-06 16:15:00,18,310,2,1.21951219512195,12,NA,27,5,"LAKEWATCH",NA,1,NA,NA
"18",18,2017-03-06 16:45:00,25,390,1,0.701219512195122,14,NA,33,6,"LAKEWATCH",NA,1,NA,NA
"19",19,2017-04-02 13:30:00,37,690,5,0.853658536585366,18,NA,9,1,"LAKEWATCH",NA,1,NA,NA
"20",20,2017-04-02 13:15:00,43,940,7,0.609756097560976,27,NA,13,2,"LAKEWATCH",NA,1,NA,NA
"21",21,2017-04-02 12:30:00,44,830,8,0.24390243902439,20,NA,11,3,"LAKEWATCH",NA,1,NA,NA
"22",22,2017-04-02 12:45:00,38,800,7,0.609756097560976,20,NA,11,4,"LAKEWATCH",NA,1,NA,NA
"23",23,2017-04-02 13:31:00,42,1010,12,0.457317073170732,28,NA,14,5,"LAKEWATCH",NA,1,NA,NA
"24",24,2017-04-02 13:45:00,33,590,4,0.457317073170732,17,NA,9,6,"LAKEWATCH",NA,1,NA,NA
"25",25,2017-05-01 13:30:00,49,770,4,0.609756097560976,11,NA,21,1,"LAKEWATCH",NA,1,NA,NA
"26",26,2017-05-01 14:00:00,38,470,3,0.853658536585366,10,NA,22,2,"LAKEWATCH",NA,1,NA,NA
"27",27,2017-05-01 14:30:00,53,610,16,0.914634146341463,12,NA,48,3,"LAKEWATCH",NA,1,NA,NA
"28",28,2017-05-01 14:45:00,33,490,13,0.609756097560976,14,NA,17,4,"LAKEWATCH",NA,1,NA,NA
"29",29,2017-05-01 14:15:00,35,530,9,1.3109756097561,14,NA,16,5,"LAKEWATCH",NA,1,NA,NA
"30",30,2017-05-01 13:45:00,34,480,4,1.3719512195122,11,NA,5,6,"LAKEWATCH",NA,1,NA,NA
"31",31,2017-06-02 16:55:00,38,640,10,1.21951219512195,9,NA,14,1,"LAKEWATCH",NA,2,NA,NA
"32",32,2017-06-02 17:10:00,38,470,19,1.3719512195122,9,NA,15,2,"LAKEWATCH",NA,2,NA,NA
"33",33,2017-06-02 16:00:00,49,550,30,0.76219512195122,10,NA,19,3,"LAKEWATCH",NA,5,NA,NA
"34",34,2017-06-02 16:15:00,46,510,28,1.21951219512195,9,NA,22,4,"LAKEWATCH",NA,5,NA,NA
"35",35,2017-06-02 16:30:00,34,380,20,1.3719512195122,6,NA,18,5,"LAKEWATCH",NA,4,NA,NA
"36",36,2017-06-02 16:40:00,33,470,13,1.00609756097561,8,NA,14,6,"LAKEWATCH",NA,4,NA,NA
"37",37,2017-07-05 14:00:00,78,920,7,0.609756097560976,65,NA,5,1,"LAKEWATCH",NA,1,NA,NA
"38",38,2017-07-05 00:00:00,92,680,23,0.609756097560976,39,NA,11,2,"LAKEWATCH",NA,1,NA,NA
"39",39,2017-07-05 13:00:00,79,740,62,0.609756097560976,20,NA,21,3,"LAKEWATCH",NA,1,NA,NA
"40",40,2017-07-05 13:15:00,64,710,48,0.609756097560976,26,NA,20,4,"LAKEWATCH",NA,1,NA,NA
"41",41,2017-07-05 13:30:00,96,860,59,0.609756097560976,31,NA,20,5,"LAKEWATCH",NA,1,NA,NA
"42",42,2017-07-05 13:40:00,89,690,20,0.701219512195122,40,NA,11,6,"LAKEWATCH",NA,1,NA,NA
"43",43,2017-07-31 13:05:00,73,730,7,0.609756097560976,22,NA,12,1,"LAKEWATCH",NA,1,NA,NA
"44",44,2017-07-31 12:50:00,76,670,7,0.457317073170732,26,NA,15,2,"LAKEWATCH",NA,1,NA,NA
"45",45,2017-07-31 12:30:00,75,740,5,0.609756097560976,29,NA,13,3,"LAKEWATCH",NA,1,NA,NA
"46",46,2017-07-31 13:50:00,69,700,6,0.609756097560976,28,NA,17,4,"LAKEWATCH",NA,1,NA,NA
"47",47,2017-07-31 13:35:00,60,590,6,0.853658536585366,22,NA,14,5,"LAKEWATCH",NA,1,NA,NA
"48",48,2017-07-31 09:20:00,67,730,3,0.76219512195122,28,NA,18,6,"LAKEWATCH",NA,1,NA,NA
"49",49,2017-08-27 14:09:00,83,670,4,0.457317073170732,76,NA,8,1,"LAKEWATCH",NA,1,NA,NA
"50",50,2017-08-27 13:00:00,77,630,15,0.914634146341463,49,NA,18,2,"LAKEWATCH",NA,1,NA,NA
"51",51,2017-08-27 13:16:00,66,600,9,1.00609756097561,41,NA,20,3,"LAKEWATCH",NA,1,NA,NA
"52",52,2017-08-27 15:26:00,79,630,17,0,43,NA,21,4,"LAKEWATCH",NA,2,NA,NA
"53",53,2017-08-27 14:50:00,72,610,9,0.853658536585366,46,NA,18,5,"LAKEWATCH",NA,3,NA,NA
"54",54,2017-08-27 10:24:00,81,720,2,0.548780487804878,85,NA,8,6,"LAKEWATCH",NA,1,NA,NA
"55",55,2017-09-29 14:30:00,88,690,18,0.76219512195122,83,NA,27,1,"LAKEWATCH",NA,1,NA,NA
"56",56,2017-09-29 14:10:00,71,590,6,0.609756097560976,76,NA,25,2,"LAKEWATCH",NA,1,NA,NA
"57",57,2017-09-29 13:45:00,73,610,12,0.914634146341463,94,NA,29,3,"LAKEWATCH",NA,1,NA,NA
"58",58,2017-09-29 15:30:00,56,590,15,0.914634146341463,81,NA,27,4,"LAKEWATCH",NA,1,NA,NA
"59",59,2017-09-29 14:50:00,71,650,15,0.701219512195122,86,NA,28,5,"LAKEWATCH",NA,1,NA,NA
"60",60,2017-09-29 14:55:00,61,610,16,0.609756097560976,77,NA,26,6,"LAKEWATCH",NA,1,NA,NA
"61",61,2017-10-26 13:15:00,64,730,7,0.548780487804878,92,NA,7,1,"LAKEWATCH",NA,1,NA,NA
"62",62,2017-10-26 13:30:00,80,930,18,0.853658536585366,105,NA,15,2,"LAKEWATCH",NA,1,NA,NA
"63",63,2017-10-26 13:45:00,87,930,25,0.853658536585366,95,NA,17,3,"LAKEWATCH",NA,1,NA,NA
"64",64,2017-10-26 12:30:00,82,940,18,0.304878048780488,85,NA,14,4,"LAKEWATCH",NA,1,NA,NA
"65",65,2017-10-26 12:45:00,64,790,12,0.304878048780488,83,NA,12,5,"LAKEWATCH",NA,1,NA,NA
"66",66,2017-10-26 13:00:00,56,720,4,0.609756097560976,83,NA,7,6,"LAKEWATCH",NA,1,NA,NA
"67",67,2017-12-01 13:10:00,47,710,19,0,21,NA,20,1,"LAKEWATCH",NA,1,NA,NA
"68",68,2017-12-01 14:10:00,44,520,29,1.3109756097561,14,NA,31,2,"LAKEWATCH",NA,1,NA,NA
"69",69,2017-12-01 14:30:00,41,450,12,1.3719512195122,13,NA,34,3,"LAKEWATCH",NA,1,NA,NA
